,Time / Date,Active Time/Date,Area,Description,Device
2037,2023-09-02 오후 11:43,2023-09-02 오후 11:41,UL02,101158 X/Y has moved unexpectedly during load cycle | Aisle 2  OK ,                    
2038,2023-09-02 오후 11:43,2023-09-02 오후 11:41,UL02,101158 X/Y has moved unexpectedly during load cycle | Aisle 2  OK ,                    
5279,2023-09-02 오후 3:47,2023-09-02 오후 3:47,UL02,101158 X/Y has moved unexpectedly during load cycle | Aisle 2  OK ,                    
5280,2023-09-02 오후 3:47,2023-09-02 오후 3:47,UL02,101158 X/Y has moved unexpectedly during load cycle | Aisle 2  OK ,                    
5283,2023-09-02 오후 3:47,2023-09-02 오후 3:47,UL02,101158 X/Y has moved unexpectedly during load cycle | Aisle 2  ,                    
7351,2023-09-02 오전 7:16,2023-09-02 오전 7:15,UL02,"121111 Load Overhang Right Side | LHD 1, Aisle 2  OK ",                    
7352,2023-09-02 오전 7:16,2023-09-02 오전 7:15,UL02,"121111 Load Overhang Right Side | LHD 1, Aisle 2  OK ",                    
7353,2023-09-02 오전 7:15,2023-09-02 오전 7:15,UL02,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 2  OK ,                    
7354,2023-09-02 오전 7:15,2023-09-02 오전 7:15,UL02,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 2  OK ,                    
7355,2023-09-02 오전 7:15,2023-09-02 오전 7:14,UL02,"121111 Load Overhang Right Side | LHD 1, Aisle 2  OK ",                    
7356,2023-09-02 오전 7:15,2023-09-02 오전 7:14,UL02,"121111 Load Overhang Right Side | LHD 1, Aisle 2  OK ",                    
13307,2023-09-01 오후 6:03,2023-09-01 오후 5:51,UL02,"121118 Sequence Timeout | LHD 1, Aisle 2  OK ",                    
13308,2023-09-01 오후 6:03,2023-09-01 오후 5:51,UL02,"121118 Sequence Timeout | LHD 1, Aisle 2  OK ",                    
