Time / Date,Area,Description,Device
2023-11-24 오전 8:19,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-24 오전 7:57,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-24 오전 6:50,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-24 오전 2:54,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-24 오전 12:02,UL03,101127 Rear Cabin Door is open while machine operating | Aisle 3,                    
2023-11-23 오후 11:46,UL03,"121124 Consecutive Near Bin Occupied On Left Side | LHD 1, Aisle 3",                    
2023-11-23 오후 11:46,UL03,"121124 Consecutive Near Bin Occupied On Left Side | LHD 1, Aisle 3",                    
2023-11-23 오후 11:46,UL03,"132902 Bin Occupied in HMI test mission | Move Cycle Response, Aisle 3",                    
2023-11-23 오후 11:43,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-23 오후 11:29,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-23 오후 11:23,UL03,"121104 LHD Has Data Occupancy Without A Load On Board | LHD 1, Aisle 3",                    
2023-11-23 오후 10:54,UL03,101109 Front Cabin Door is open while machine operating | Aisle 3,                    
2023-11-23 오후 10:47,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-23 오후 10:45,UL03,101104 Safety Fault: Catching Device has been actuated | Aisle 3,                    
2023-11-23 오후 10:45,UL03,101107 Safety Fault: Emergency Stop Onboard Panel | Aisle 3,                    
2023-11-23 오후 10:44,UL03,101104 Safety Fault: Catching Device has been actuated | Aisle 3,                    
2023-11-23 오후 10:43,UL03,101131 Safety Fault: Safety Module Passivated | Aisle 3,                    
2023-11-23 오후 10:43,UL03,101132 Safety Fault: A Safety Output has Faulted (Feedback Monitoring) | Aisle 3,                    
2023-11-23 오후 10:42,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-23 오후 10:42,UL03,"101191 Y Current Position is Out of Range | SRM 1, Aisle 3",                    
2023-11-23 오후 10:42,UL03,200107 Error LED on SRM PLC is Active Indicating a PLC Error | Aisle 3,                    
2023-11-23 오후 10:35,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-23 오후 10:33,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-23 오후 10:31,UL03,200107 Error LED on SRM PLC is Active Indicating a PLC Error | Aisle 3,                    
2023-11-23 오후 10:10,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-23 오후 10:07,UL03,101132 Safety Fault: A Safety Output has Faulted (Feedback Monitoring) | Aisle 3,                    
2023-11-23 오후 10:06,UL03,101109 Front Cabin Door is open while machine operating | Aisle 3,                    
2023-11-23 오후 10:04,UL03,"101191 Y Current Position is Out of Range | SRM 1, Aisle 3",                    
2023-11-23 오후 9:46,UL03,"102211 Internal DSC Error | Y 1, Aisle 3",                    
2023-11-23 오후 9:36,UL03,"102511 Internal DSC Error | Z 1, Aisle 3",                    
2023-11-23 오후 9:35,UL03,100119 Safety Fault: Emergency Stop Mobile Panel | Aisle 3,                    
2023-11-23 오후 9:09,UL03,"102211 Internal DSC Error | Y 1, Aisle 3",                    
2023-11-23 오후 9:09,UL03,101107 Safety Fault: Emergency Stop Onboard Panel | Aisle 3,                    
2023-11-23 오후 9:09,UL03,200107 Error LED on SRM PLC is Active Indicating a PLC Error | Aisle 3,                    
2023-11-23 오후 9:06,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-23 오후 9:05,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-23 오후 9:01,UL03,100115 Door 1 is open while SRM is operating | Aisle 3,                    
2023-11-23 오후 9:00,UL03,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 3,                    
2023-11-23 오후 8:46,UL03,101138 Safety Fault: Y1 driving belt has gone slack | Aisle 3,                    
